Υλικό (διαγράφεται)
Baby πατάτες
Baby ρόκα
Baby σπανάκι
Bagel
Banana bread
Bitter cake
Blueberry puree
Cake βανίλιας με σταγόνες μαύρης σοκολάτας
Carrot κέικ
Cheesecake φούρνου
Chicken Harissa
Chili
Chutney
Coleslaw broccoli
Coleslaw broccoli Vegan
Coleslaw σαλάτα
Cookies choco chip με μαύρη σοκολάτα και μέλι
Cookies λεμόνι και μέλι
"Cookies με κρέμα φουντουκιού, μαύρη σοκολάτα και μέλι"
Cranberries
Crispy Onios
Dressing
Dressing βαλσάμικο
Dressing βαλσάμικο-σύκο
Dressing λαδολέμονο
Dressing ταχίνι-σόγια
"Energy ball με καραμέλα, χουρμάδες, κάσιους και καρύδα"
"Energy ball με πορτοκάλι, μαύρη σοκολάτα, χουρμάδες, σταφίδες, σύκα και αμύγδαλα"
"Energy ball με φουντούκι, χουρμάδες, βερίκοκα, σύκα, κάσιους και κακάο"
"Energy ball με φράουλα, χουρμάδες, σύκα και παπάγια"
Falafel
Feta Chili Cream
Flakes παρμεζάνας
Frosting κρέμας τυριού light
Garlic Aioli Dressing
Gouda light
Granola
Gravy sauce
Jalapeños πιπεριές
Mango Lime Dressing
"Mix πιπεριά, κολοκύθι, καρότο"
Mix πράσινης σαλάτας
Noodles αυγού
Noodles ρυζιού
Olive Oil Lemon Dressing
Pancakes βρώμης
Sauce cocktail
Sauce γιαουρτιού
Sauce μουστάρδας-γιαουρτιού
Sauce ταχίνι
Sesame Teriyaki Dressing
Spicy κουνουπίδι και λαχανικά
Tahini Soy Dressing
Tikka Masala
Tofu
Vegan cake με χουρμάδες
Vegan pesto
"Vegan μανιτάρια φρικασέ με μαρούλι, χόρτα εποχής, φρέσκο κρεμμύδι και άνηθο"
Vegan παστίτσιο με ραγού μανιταριών και μπεσαμέλ από γάλα σόγιας
"Vegan χορτόπιτα με φύλλο ολικής, χόρτα εποχής, πράσο, φρέσκο κρεμμύδι και μυρωδικά"
Vinaigrette
Vinaigrette σόγιας
Wrap ολικής
Yogurt Dressing
Άγριο ρύζι
"Άγριο ρύζι με μπρόκολο, σπανάκι, σουσάμι, τόφου και teriyaki sauce"
Αγγουροντομάτα
Ανανάς
Αντίδι
Ατομική σαλάτα
Αυγά με τριμμένη ντομάτα
Αυγοφέτες
Αυγό βραστό
Βίδες ολικής
Βαλσαμικό γλάσο
Βραστά λαχανικά
"Γάλα 1,5%"
Γαρίδες
Γεμιστά
Γιαούρτι 2%
Γιουβαρλάκια κοτόπουλου
Γκρέιπφρουτ
Δαμάσκηνα αποξηραμένα
"Διπλή μπάρα με αμυγδαλοβούτυρο, λευκή σοκολάτα, φράουλα και μέλι"
"Διπλή μπάρα με αμυγδαλοβούτυρο, μαύρη σοκολάτα και μέλι"
"Διπλή μπάρα με ταχίνι, λευκή σοκολάτα και μέλι"
"Διπλή μπάρα με ταχίνι, μαύρη σοκολάτα και μέλι"
"Διπλή μπάρα με φιστίκι Αιγίνης, αμύγδαλα, καρύδα, κάσιους, cranberries, μέλι και λευκή σοκολάτα"
"Διπλή μπάρα με φουντουκοβούτυρο, μαύρη σοκολάτα και μέλι"
"Διπλή μπάρα με φυστικοβούτυρο, καραμέλα και μέλι"
"Διπλή μπάρα με φυστικοβούτυρο, μαύρη σοκολάτα και μέλι"
Ελιές
"Ελληνική ομελέτα με ντοματίνια, φέτα light, πιπεριά, σπανάκι, κρεμμύδι, ελιές, μαϊντανό και ρίγανη"
Ηλιόσποροι
Ιμάμ
"Ισπανική ομελέτα με πατάτα, καρότο, κολοκύθι, γάλα light και κρεμμύδι"
Κέικ λεμονιού
Κέικ με κακάο και σταγόνες μαύρης σοκολάτας
Κέικ με φρούτα του δάσους
Κέικ πορτοκαλιού
Κίτρινο τυρί light
Καπνιστή πέστροφα
Καπνιστός σολομός
Καρύδια
Καρύδια pecan
Καστανό ρύζι
Κατίκι Δομοκού
Κεφτεδάκια
Κεφτεδάκια φακής
Κιμάς γαλοπούλας
