Κωδικός,Πιάτο,Ποσότητα,Παλιά τιμή,Νέα τιμή,Διαφορά
203-1,Φιλέτο μοσχαρίσιο με ψητά λαχανικά και BBQ sauce,Φιλέτο μοσχαρίσιο (120γρ),"16,90€","16,50€","-0,40€"
203-2,Φιλέτο μοσχαρίσιο με ψητά λαχανικά και BBQ sauce,Φιλέτο μοσχαρίσιο (150γρ),"18,50€","19,50€","1,00€"
203-3,Φιλέτο μοσχαρίσιο με ψητά λαχανικά και BBQ sauce,Φιλέτο μοσχαρίσιο (180γρ),"20,90€","22,50€","1,60€"
203-4,Φιλέτο μοσχαρίσιο με ψητά λαχανικά και BBQ sauce,Φιλέτο μοσχαρίσιο (210γρ),"22,50€","25,50€","3,00€"
207-2,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light,"Γίγαντες (250γρ), Φέτα light (60γρ)","7,50€","7,40€","-0,10€"
207-3,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light,"Γίγαντες (300γρ), Φέτα light (30γρ)","7,90€","7,40€","-0,50€"
207-5,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light,"Γίγαντες (300γρ), Φέτα light (90γρ)","8,50€","8,40€","-0,10€"
207-6,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light,"Γίγαντες (350γρ), Φέτα light (30γρ)","8,50€","8,40€","-0,10€"
207-8,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light,"Γίγαντες (350γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
207-9,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light,"Γίγαντες (400γρ), Φέτα light (60γρ)","9,50€","9,40€","-0,10€"
209-1,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (120γρ), Πουρές πατάτας (120γρ)","16,50€","15,90€","-0,60€"
209-2,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (120γρ), Πουρές πατάτας (150γρ)","16,90€","16,50€","-0,40€"
209-3,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (120γρ), Πουρές πατάτας (200γρ)","17,50€","16,90€","-0,60€"
209-4,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (150γρ), Πουρές πατάτας (120γρ)","17,90€","18,90€","1,00€"
209-5,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (150γρ), Πουρές πατάτας (150γρ)","18,50€","19,50€","1,00€"
209-6,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (150γρ), Πουρές πατάτας (200γρ)","18,90€","19,90€","1,00€"
209-7,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (180γρ), Πουρές πατάτας (120γρ)","19,50€","21,90€","2,40€"
209-8,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (180γρ), Πουρές πατάτας (150γρ)","19,90€","22,50€","2,60€"
209-9,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (180γρ), Πουρές πατάτας (200γρ)","20,50€","22,90€","2,40€"
210-1,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (120γρ), Πατάτες φούρνου (80γρ)","10,50€","10,40€","-0,10€"
210-3,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (120γρ), Πατάτες φούρνου (240γρ)","11,50€","11,40€","-0,10€"
210-4,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (150γρ), Πατάτες φούρνου (80γρ)","11,50€","11,40€","-0,10€"
210-6,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (150γρ), Πατάτες φούρνου (240γρ)","12,50€","12,40€","-0,10€"
210-7,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (180γρ), Πατάτες φούρνου (80γρ)","12,50€","12,40€","-0,10€"
210-9,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (180γρ), Πατάτες φούρνου (240γρ)","13,50€","13,40€","-0,10€"
215-1,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (120γρ), Πατάτες φούρνου (80γρ)","16,50€","15,90€","-0,60€"
215-2,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (120γρ), Πατάτες φούρνου (160γρ)","16,90€","16,50€","-0,40€"
215-3,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (120γρ), Πατάτες φούρνου (240γρ)","17,50€","16,90€","-0,60€"
215-4,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (150γρ), Πατάτες φούρνου (80γρ)","17,90€","18,90€","1,00€"
215-5,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (150γρ), Πατάτες φούρνου (160γρ)","18,50€","19,50€","1,00€"
215-6,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (150γρ), Πατάτες φούρνου (240γρ)","18,90€","19,90€","1,00€"
215-7,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (180γρ), Πατάτες φούρνου (80γρ)","19,50€","21,90€","2,40€"
215-8,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (180γρ), Πατάτες φούρνου (160γρ)","19,90€","22,50€","2,60€"
215-9,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (180γρ), Πατάτες φούρνου (240γρ)","20,50€","22,90€","2,40€"
216-1,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (120γρ), Πουρές γλυκοπατάτας (120γρ)","16,50€","15,90€","-0,60€"
216-2,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (120γρ), Πουρές γλυκοπατάτας (180γρ)","16,90€","16,50€","-0,40€"
216-3,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (120γρ), Πουρές γλυκοπατάτας (220γρ)","17,50€","16,90€","-0,60€"
216-4,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (150γρ), Πουρές γλυκοπατάτας (120γρ)","17,90€","18,90€","1,00€"
216-5,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (150γρ), Πουρές γλυκοπατάτας (180γρ)","18,50€","19,50€","1,00€"
216-6,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (150γρ), Πουρές γλυκοπατάτας (220γρ)","18,90€","19,90€","1,00€"
216-7,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (180γρ), Πουρές γλυκοπατάτας (120γρ)","19,50€","21,90€","2,40€"
216-8,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (180γρ), Πουρές γλυκοπατάτας (180γρ)","19,90€","22,50€","2,60€"
216-9,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (180γρ), Πουρές γλυκοπατάτας (220γρ)","20,50€","22,90€","2,40€"
218-1,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (120γρ), Πουρές σελινόριζας (120γρ)","10,50€","9,90€","-0,60€"
218-2,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (120γρ), Πουρές σελινόριζας (180γρ)","10,90€","10,40€","-0,50€"
218-3,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (120γρ), Πουρές σελινόριζας (240γρ)","11,50€","10,90€","-0,60€"
218-4,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (150γρ), Πουρές σελινόριζας (120γρ)","11,50€","10,90€","-0,60€"
218-5,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (150γρ), Πουρές σελινόριζας (180γρ)","11,90€","11,40€","-0,50€"
218-6,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (150γρ), Πουρές σελινόριζας (240γρ)","12,50€","11,90€","-0,60€"
218-7,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (180γρ), Πουρές σελινόριζας (120γρ)","12,50€","11,90€","-0,60€"
218-8,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (180γρ), Πουρές σελινόριζας (180γρ)","12,90€","12,40€","-0,50€"
218-9,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (180γρ), Πουρές σελινόριζας (240γρ)","13,50€","12,90€","-0,60€"
219-2,"Wrap ολικής με ψητά μανιτάρια, κατίκι και γραβιέρα light",Wrap ολικής με ψητά μανιτάρια (90γρ),"6,90€","7,50€","0,60€"
224-1,Μακαρονοσαλάτα με πέννες ολικής και κοτόπουλο,"Πέννες ολικής (140γρ), Φιλέτο κοτόπουλο (60γρ)","8,50€","8,90€","0,40€"
224-2,Μακαρονοσαλάτα με πέννες ολικής και κοτόπουλο,"Πέννες ολικής (210γρ), Φιλέτο κοτόπουλο (90γρ)","8,90€","9,40€","0,50€"
224-3,Μακαρονοσαλάτα με πέννες ολικής και κοτόπουλο,"Πέννες ολικής (210γρ), Φιλέτο κοτόπουλο (120γρ)","9,50€","9,90€","0,40€"
225-2,Μακαρονοσαλάτα με πέννες ολικής και ψητό σολομό,"Πέννες ολικής (210γρ), Σολομός ψητός (90γρ)","12,50€","12,90€","0,40€"
225-3,Μακαρονοσαλάτα με πέννες ολικής και ψητό σολομό,"Πέννες ολικής (210γρ), Σολομός ψητός (120γρ)","13,90€","14,90€","1,00€"
226-1,Τονοσαλάτα με baby πατάτες και μαγιονέζα light,"Baby πατάτες (160γρ), Τόνος (60γρ)","8,90€","8,50€","-0,40€"
231-1,"Τηγανητό ρύζι με λαχανικά, αυγό και σόγια",Τηγανητό ρύζι (300γρ),"6,50€","4,90€","-1,60€"
231-2,"Τηγανητό ρύζι με λαχανικά, αυγό και σόγια",Τηγανητό ρύζι (400γρ),"6,90€","5,50€","-1,40€"
231-3,"Τηγανητό ρύζι με λαχανικά, αυγό και σόγια",Τηγανητό ρύζι (500γρ),"7,50€","5,90€","-1,60€"
233-1,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (300γρ), Φέτα light (30γρ)","6,50€","7,40€","0,90€"
233-2,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (300γρ), Φέτα light (60γρ)","6,90€","7,90€","1,00€"
233-3,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (400γρ), Φέτα light (30γρ)","7,50€","8,40€","0,90€"
233-4,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (400γρ), Φέτα light (60γρ)","7,90€","8,90€","1,00€"
233-5,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (400γρ), Φέτα light (90γρ)","8,50€","8,90€","0,40€"
233-6,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (500γρ), Φέτα light (60γρ)","8,90€","9,40€","0,50€"
233-7,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (500γρ), Φέτα light (90γρ)","9,50€","9,90€","0,40€"
234-1,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (210γρ), Bolognese (90γρ)","6,50€","6,90€","0,40€"
234-2,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (210γρ), Bolognese (120γρ)","6,90€","7,40€","0,50€"
234-3,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (240γρ), Bolognese (90γρ)","6,90€","7,40€","0,50€"
234-4,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (240γρ), Bolognese (120γρ)","7,50€","7,90€","0,40€"
234-5,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (240γρ), Bolognese (150γρ)","7,90€","8,40€","0,50€"
234-6,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (300γρ), Bolognese (120γρ)","7,90€","8,40€","0,50€"
234-7,Λιγκουίνι ολικής με σάλτσα bolognese από φακή,"Λιγκουίνι ολικής (300γρ), Bolognese (150γρ)","8,50€","8,90€","0,40€"
235-1,"Wrap ολικής με πάστα χαρίσα, κρέμα μελιτζάνας και χούμους",Wrap ολικής με πάστα χαρίσα (60γρ),"4,20€","4,50€","0,30€"
235-2,"Wrap ολικής με πάστα χαρίσα, κρέμα μελιτζάνας και χούμους",Wrap ολικής με πάστα χαρίσα (90γρ),"5,20€","5,50€","0,30€"
243-1,Vegan χορτόπιτα με φύλλο ολικής,Vegan χορτόπιτα (200γρ),"4,90€","4,50€","-0,40€"
247-1,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (250γρ), Φέτα light (30γρ)","5,90€","6,90€","1,00€"
247-2,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (250γρ), Φέτα light (60γρ)","6,50€","7,40€","0,90€"
247-3,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (350γρ), Φέτα light (30γρ)","6,50€","7,40€","0,90€"
247-4,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (350γρ), Φέτα light (60γρ)","6,90€","7,90€","1,00€"
247-5,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (350γρ), Φέτα light (90γρ)","7,50€","8,40€","0,90€"
247-6,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (450γρ), Φέτα light (30γρ)","7,50€","8,40€","0,90€"
247-7,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (450γρ), Φέτα light (60γρ)","7,90€","8,90€","1,00€"
247-8,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (450γρ), Φέτα light (90γρ)","8,50€","9,40€","0,90€"
247-9,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (500γρ), Φέτα light (60γρ)","8,50€","9,40€","0,90€"
249-1,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (120γρ), Άγριο ρύζι (60γρ)","7,90€","8,90€","1,00€"
249-2,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (120γρ), Άγριο ρύζι (120γρ)","8,50€","9,40€","0,90€"
249-3,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (120γρ), Άγριο ρύζι (180γρ)","8,90€","9,40€","0,50€"
249-4,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (150γρ), Άγριο ρύζι (60γρ)","8,90€","9,90€","1,00€"
249-5,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (150γρ), Άγριο ρύζι (120γρ)","9,50€","10,40€","0,90€"
249-6,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (150γρ), Άγριο ρύζι (180γρ)","9,90€","10,40€","0,50€"
249-7,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (180γρ), Άγριο ρύζι (120γρ)","9,90€","10,90€","1,00€"
249-8,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (180γρ), Άγριο ρύζι (180γρ)","10,50€","11,40€","0,90€"
249-9,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (180γρ), Άγριο ρύζι (240γρ)","10,90€","11,40€","0,50€"
253-1,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (120γρ), Μπάμιες (250γρ)","9,90€","9,40€","-0,50€"
253-2,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (120γρ), Μπάμιες (300γρ)","10,50€","9,90€","-0,60€"
253-3,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (150γρ), Μπάμιες (250γρ)","10,50€","10,40€","-0,10€"
253-5,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (150γρ), Μπάμιες (350γρ)","10,90€","11,40€","0,50€"
253-6,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (180γρ), Μπάμιες (300γρ)","11,50€","11,90€","0,40€"
253-7,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (180γρ), Μπάμιες (350γρ)","11,90€","12,40€","0,50€"
253-8,Φιλέτο μπούτι κοτόπουλο κοκκινιστό με μπάμιες,"Μπούτι κοτόπουλο (210γρ), Μπάμιες (350γρ)","12,50€","12,90€","0,40€"
256-1,Χοιρινό φρικασέ με χόρτα εποχής και αυγολέμονο,Χοιρινό φρικασέ (120γρ),"10,50€","9,90€","-0,60€"
256-2,Χοιρινό φρικασέ με χόρτα εποχής και αυγολέμονο,Χοιρινό φρικασέ (150γρ),"11,50€","10,90€","-0,60€"
256-3,Χοιρινό φρικασέ με χόρτα εποχής και αυγολέμονο,Χοιρινό φρικασέ (180γρ),"12,50€","11,90€","-0,60€"
257-1,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (120γρ), Κους κους (100γρ)","10,90€","9,40€","-1,50€"
257-2,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (120γρ), Κους κους (150γρ)","11,50€","9,90€","-1,60€"
257-3,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (150γρ), Κους κους (100γρ)","11,90€","10,40€","-1,50€"
257-4,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (150γρ), Κους κους (150γρ)","12,50€","10,90€","-1,60€"
257-5,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (180γρ), Κους κους (100γρ)","12,90€","11,40€","-1,50€"
257-6,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (180γρ), Κους κους (150γρ)","13,50€","11,90€","-1,60€"
257-7,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (210γρ), Κους κους (100γρ)","13,90€","12,40€","-1,50€"
257-8,Μπουρδέτο με φιλέτο μπακαλιάρου και κους κους,"Φιλέτο μπακαλιάρου (210γρ), Κους κους (150γρ)","14,50€","12,90€","-1,60€"
259-1,Πράσινη σαλάτα με κοτόπουλο και Pico de Gallo,"Pico de gallo με φιλέτο κοτόπουλο (60γρ), Dressing (70γρ)","8,50€","8,90€","0,40€"
259-2,Πράσινη σαλάτα με κοτόπουλο και Pico de Gallo,"Pico de gallo με φιλέτο κοτόπουλο (90γρ), Dressing (70γρ)","8,90€","9,40€","0,50€"
259-3,Πράσινη σαλάτα με κοτόπουλο και Pico de Gallo,"Pico de gallo με φιλέτο κοτόπουλο (120γρ), Dressing (70γρ)","9,50€","9,90€","0,40€"
263-2,Κόκορας κρασάτος με μακαρόνι ολικής και τριμμένο τυρί light,"Μακαρόνι ολικής (210γρ), Κόκκορας (120γρ)","9,50€","9,40€","-0,10€"
263-5,Κόκορας κρασάτος με μακαρόνι ολικής και τριμμένο τυρί light,"Μακαρόνι ολικής (240γρ), Κόκκορας (120γρ)","10,50€","10,40€","-0,10€"
263-8,Κόκορας κρασάτος με μακαρόνι ολικής και τριμμένο τυρί light,"Μακαρόνι ολικής (300γρ), Κόκκορας (120γρ)","11,50€","11,40€","-0,10€"
264-1,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (120γρ), Πουρές καρότου (120γρ)","10,50€","10,40€","-0,10€"
264-3,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (120γρ), Πουρές καρότου (220γρ)","11,50€","11,40€","-0,10€"
264-4,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (150γρ), Πουρές καρότου (120γρ)","11,50€","11,40€","-0,10€"
264-6,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (150γρ), Πουρές καρότου (220γρ)","12,50€","12,40€","-0,10€"
264-7,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (180γρ), Πουρές καρότου (120γρ)","12,50€","12,40€","-0,10€"
264-9,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (180γρ), Πουρές καρότου (220γρ)","13,50€","13,40€","-0,10€"
269-1,Μπιφτέκι γαλοπούλας με χόρτα εποχής και μανιτάρια,Μπιφτέκι γαλοπούλας (120γρ),"9,90€","8,90€","-1,00€"
269-2,Μπιφτέκι γαλοπούλας με χόρτα εποχής και μανιτάρια,Μπιφτέκι γαλοπούλας (150γρ),"10,90€","9,90€","-1,00€"
269-3,Μπιφτέκι γαλοπούλας με χόρτα εποχής και μανιτάρια,Μπιφτέκι γαλοπούλας (180γρ),"11,90€","10,90€","-1,00€"
269-4,Μπιφτέκι γαλοπούλας με χόρτα εποχής και μανιτάρια,Μπιφτέκι γαλοπούλας (210γρ),"12,90€","11,90€","-1,00€"
271-1,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (120γρ), Πουρές πατάτας και αρακά (150γρ)","9,50€","8,40€","-1,10€"
271-2,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (120γρ), Πουρές πατάτας και αρακά (200γρ)","9,90€","8,90€","-1,00€"
271-3,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (120γρ), Πουρές πατάτας και αρακά (250γρ)","10,50€","9,40€","-1,10€"
271-4,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (150γρ), Πουρές πατάτας και αρακά (150γρ)","10,50€","9,40€","-1,10€"
271-5,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (150γρ), Πουρές πατάτας και αρακά (200γρ)","10,90€","9,90€","-1,00€"
271-6,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (150γρ), Πουρές πατάτας και αρακά (250γρ)","11,50€","10,40€","-1,10€"
271-7,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (180γρ), Πουρές πατάτας και αρακά (150γρ)","11,50€","10,40€","-1,10€"
271-8,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (180γρ), Πουρές πατάτας και αρακά (200γρ)","11,90€","10,90€","-1,00€"
271-9,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (180γρ), Πουρές πατάτας και αρακά (250γρ)","12,50€","11,40€","-1,10€"
272-2,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (120γρ), Άγριο ρύζι (120γρ)","9,90€","9,40€","-0,50€"
272-3,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (120γρ), Άγριο ρύζι (180γρ)","10,50€","9,90€","-0,60€"
272-4,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (150γρ), Άγριο ρύζι (60γρ)","11,50€","10,90€","-0,60€"
272-5,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (150γρ), Άγριο ρύζι (120γρ)","11,90€","11,40€","-0,50€"
272-6,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (150γρ), Άγριο ρύζι (180γρ)","12,50€","11,90€","-0,60€"
272-7,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (180γρ), Άγριο ρύζι (120γρ)","13,50€","12,90€","-0,60€"
272-8,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (180γρ), Άγριο ρύζι (180γρ)","13,90€","13,40€","-0,50€"
272-9,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (180γρ), Άγριο ρύζι (240γρ)","14,50€","13,90€","-0,60€"
273-2,Φρικασέ με μπούτι κοτόπουλο χόρτα και αυγολέμονο,Κοτόπουλο φρικασέ (150γρ),"9,50€","9,90€","0,40€"
273-3,Φρικασέ με μπούτι κοτόπουλο χόρτα και αυγολέμονο,Κοτόπουλο φρικασέ (180γρ),"9,90€","10,90€","1,00€"
274-1,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (250γρ), Φέτα light (30γρ)","5,90€","6,40€","0,50€"
274-2,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (250γρ), Φέτα light (60γρ)","6,50€","6,90€","0,40€"
274-3,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (350γρ), Φέτα light (30γρ)","6,50€","6,90€","0,40€"
274-4,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (350γρ), Φέτα light (60γρ)","6,90€","7,40€","0,50€"
274-5,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (350γρ), Φέτα light (90γρ)","7,50€","7,90€","0,40€"
274-6,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (450γρ), Φέτα light (30γρ)","7,50€","7,90€","0,40€"
274-7,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (450γρ), Φέτα light (60γρ)","7,90€","8,40€","0,50€"
