Κατηγορία,Λιανική,Τίτλος,Ποσότητα,Υλικά,Κρυμμένο Πεδίο,Κωδικός,Price,Price (ΦΠΑ),Status,Επιλογή Πιάτου Match,Food Cost,Food Cost (ΦΠΑ),Packaging Cost,Packaging Cost (ΦΠΑ),Old Product Cost,Product Cost,Product Cost (ΦΠΑ),Product Cost/ Price,Price - Product Cost,Food Cost/Price,Packaging Cost/ Price,Θερμίδες,Υδατάνθρακες,Πρωτεϊνη,Λιπαρά,Image,Image
Μαγειρευτά,ΟΧΙ,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (300γρ), Φέτα light (60γρ)","Κουνουπίδι, Κρεμμύδι, Σκόρδο, Ντομάτα, Κολοκύθι, Μέλι, Chili πιπεριά, Ζωμός λαχανικών, Μαϊντανός, Φέτα light","Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά (300γρ), Πατάτα (50γρ), Φέτα light (60γρ)",233-2,6.99,7.90,OK,"Κουνουπίδι καπαμά με σάλτσα ντομάτας, πατάτα, κολοκύθι και μυρωδικά (300γρ), Πατάτα, μαγειρεμένη (50γρ), Φέτα τυρί, light (60γρ)",2.07,2.34,0.20,0.25,2.27,2.27,2.58,32.44%,€4.72,29.61%,2.83%,342,35,17,18,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (400γρ), Φέτα light (30γρ)","Κουνουπίδι, Κρεμμύδι, Σκόρδο, Ντομάτα, Κολοκύθι, Μέλι, Chili πιπεριά, Ζωμός λαχανικών, Μαϊντανός, Φέτα light","Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά (400γρ), Πατάτα (50γρ), Φέτα light (30γρ)",233-3,7.43,8.40,OK,"Κουνουπίδι καπαμά με σάλτσα ντομάτας, πατάτα, κολοκύθι και μυρωδικά (400γρ), Πατάτα, μαγειρεμένη (50γρ), Φέτα τυρί, light (30γρ)",1.89,2.14,0.20,0.25,2.09,2.09,2.38,28.10%,€5.34,25.44%,2.66%,359,43,13,19,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing
Μαγειρευτά,ΝΑΙ,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (400γρ), Φέτα light (60γρ)","Κουνουπίδι, Κρεμμύδι, Σκόρδο, Ντομάτα, Κολοκύθι, Μέλι, Chili πιπεριά, Ζωμός λαχανικών, Μαϊντανός, Φέτα light","Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά (400γρ), Πατάτα (50γρ), Φέτα light (60γρ)",233-4,7.88,8.90,OK,"Κουνουπίδι καπαμά με σάλτσα ντομάτας, πατάτα, κολοκύθι και μυρωδικά (400γρ), Πατάτα, μαγειρεμένη (50γρ), Φέτα τυρί, light (60γρ)",2.40,2.71,0.20,0.25,2.60,2.60,2.96,32.97%,€5.28,30.46%,2.51%,408,43,19,22,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (400γρ), Φέτα light (90γρ)","Κουνουπίδι, Κρεμμύδι, Σκόρδο, Ντομάτα, Κολοκύθι, Μέλι, Chili πιπεριά, Ζωμός λαχανικών, Μαϊντανός, Φέτα light","Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά (400γρ), Πατάτα (50γρ), Φέτα light (90γρ)",233-5,7.88,8.90,OK,"Κουνουπίδι καπαμά με σάλτσα ντομάτας, πατάτα, κολοκύθι και μυρωδικά (400γρ), Πατάτα, μαγειρεμένη (50γρ), Φέτα τυρί, light (90γρ)",2.91,3.29,0.20,0.25,3.11,3.11,3.53,39.44%,€4.77,36.93%,2.51%,457,43,24,26,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (500γρ), Φέτα light (60γρ)","Κουνουπίδι, Κρεμμύδι, Σκόρδο, Ντομάτα, Κολοκύθι, Μέλι, Chili πιπεριά, Ζωμός λαχανικών, Μαϊντανός, Φέτα light","Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά (500γρ), Πατάτα (50γρ), Φέτα light (60γρ)",233-6,8.32,9.40,OK,"Κουνουπίδι καπαμά με σάλτσα ντομάτας, πατάτα, κολοκύθι και μυρωδικά (500γρ), Πατάτα, μαγειρεμένη (50γρ), Φέτα τυρί, light (60γρ)",2.73,3.08,0.20,0.25,2.93,2.93,3.33,35.19%,€5.39,32.81%,2.38%,475,52,20,26,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κουνουπίδι καπαμά και φέτα light,"Κουνουπίδι καπαμά (500γρ), Φέτα light (90γρ)","Κουνουπίδι, Κρεμμύδι, Σκόρδο, Ντομάτα, Κολοκύθι, Μέλι, Chili πιπεριά, Ζωμός λαχανικών, Μαϊντανός, Φέτα light","Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά (500γρ), Πατάτα (50γρ), Φέτα light (90γρ)",233-7,8.76,9.90,OK,"Κουνουπίδι καπαμά με σάλτσα ντομάτας, πατάτα, κολοκύθι και μυρωδικά (500γρ), Πατάτα, μαγειρεμένη (50γρ), Φέτα τυρί, light (90γρ)",3.24,3.66,0.20,0.25,3.44,3.44,3.91,39.24%,€5.32,36.99%,2.26%,524,52,26,29,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing,https://drive.google.com/file/d/1nCm7yKHuzaBPPF5dqUlKAqpiKgD8pp3h/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κριθαράκι ολικής με θαλασσινά και ντομάτα,Κριθαράκι ολικής με θαλασσινά (300γρ),"Ζυμαρικό, Χταπόδι, Σουπιά, Γαρίδα, Ντομάτα, Σκόρδο, Κρεμμύδι, Chili πιπεριά, Μαϊντανός","Κριθαράκι ολικής με θαλασσινά, ντομάτα και μυρωδικά (300γρ)",245-1,7.88,8.90,OK,"Κριθαράκι ολικής με θαλασσινα, ντομάτα και μυρωδικά (300γρ)",1.76,1.99,0.14,0.17,1.90,1.90,2.16,24.11%,€5.98,22.34%,1.78%,474,55,20,20,https://drive.google.com/file/d/1K1xYuNuoxvM03VotLdrZygRrhffbQ9HO/view?usp=sharing,https://drive.google.com/file/d/1K1xYuNuoxvM03VotLdrZygRrhffbQ9HO/view?usp=sharing
Μαγειρευτά,ΝΑΙ,Κριθαράκι ολικής με θαλασσινά και ντομάτα,Κριθαράκι ολικής με θαλασσινά (350γρ),"Ζυμαρικό, Χταπόδι, Σουπιά, Γαρίδα, Ντομάτα, Σκόρδο, Κρεμμύδι, Chili πιπεριά, Μαϊντανός","Κριθαράκι ολικής με θαλασσινά, ντομάτα και μυρωδικά (350γρ)",245-2,8.76,9.90,OK,"Κριθαράκι ολικής με θαλασσινα, ντομάτα και μυρωδικά (350γρ)",2.06,2.33,0.14,0.17,2.20,2.20,2.50,25.11%,€6.56,23.52%,1.60%,553,64,23,24,https://drive.google.com/file/d/1K1xYuNuoxvM03VotLdrZygRrhffbQ9HO/view?usp=sharing,https://drive.google.com/file/d/1K1xYuNuoxvM03VotLdrZygRrhffbQ9HO/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κριθαράκι ολικής με θαλασσινά και ντομάτα,Κριθαράκι ολικής με θαλασσινά (400γρ),"Ζυμαρικό, Χταπόδι, Σουπιά, Γαρίδα, Ντομάτα, Σκόρδο, Κρεμμύδι, Chili πιπεριά, Μαϊντανός","Κριθαράκι ολικής με θαλασσινά, ντομάτα και μυρωδικά (400γρ)",245-3,9.65,10.90,OK,"Κριθαράκι ολικής με θαλασσινα, ντομάτα και μυρωδικά (400γρ)",2.35,2.66,0.14,0.17,2.49,2.49,2.83,25.80%,€7.16,24.35%,1.45%,632,73,27,27,https://drive.google.com/file/d/1K1xYuNuoxvM03VotLdrZygRrhffbQ9HO/view?usp=sharing,https://drive.google.com/file/d/1K1xYuNuoxvM03VotLdrZygRrhffbQ9HO/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κριθαράκι ολικής με κινόα και λαχανικά,Κριθαράκι ολικής με πολύχρωμη κινόα (300γρ),"Ζυμαρικό, Κινόα, Κρεμμύδι, Πράσο, Καρότο, Κολοκύθι, Σκόρδο, Ντομάτα, Ζωμός λαχανικών, Κουκουνάρι, Μέλι, Μαϊντανός","Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (300γρ)",120-1,6.11,6.90,OK,"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (300γρ)",0.68,0.77,0.14,0.17,0.82,0.82,0.94,13.42%,€5.29,11.13%,2.29%,335,57,11,9,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κριθαράκι ολικής με κινόα και λαχανικά,Κριθαράκι ολικής με πολύχρωμη κινόα (350γρ),"Ζυμαρικό, Κινόα, Κρεμμύδι, Πράσο, Καρότο, Κολοκύθι, Σκόρδο, Ντομάτα, Ζωμός λαχανικών, Κουκουνάρι, Μέλι, Μαϊντανός","Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (350γρ)",120-2,6.55,7.40,OK,"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (350γρ)",0.80,0.90,0.14,0.17,0.94,0.94,1.08,14.35%,€5.61,12.21%,2.14%,391,67,13,11,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing
Μαγειρευτά,ΝΑΙ,Κριθαράκι ολικής με κινόα και λαχανικά,Κριθαράκι ολικής με πολύχρωμη κινόα (400γρ),"Ζυμαρικό, Κινόα, Κρεμμύδι, Πράσο, Καρότο, Κολοκύθι, Σκόρδο, Ντομάτα, Ζωμός λαχανικών, Κουκουνάρι, Μέλι, Μαϊντανός","Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (400γρ)",120-3,6.99,7.90,OK,"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (400γρ)",0.91,1.03,0.14,0.17,1.05,1.05,1.20,15.02%,€5.94,13.02%,2.00%,447,76,15,12,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Κριθαράκι ολικής με κινόα, λαχανικά και φέτα light","Κριθαράκι ολικής με πολύχρωμη κινόα (300γρ), Φέτα light (30γρ)","Ζυμαρικό, Κινόα, Κρεμμύδι, Πράσο, Καρότο, Κολοκύθι, Σκόρδο, Ντομάτα, Ζωμός λαχανικών, Κουκουνάρι, Μέλι, Μαϊντανός, Φέτα light","Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (300γρ), Τριμμένη φέτα light (30γρ)",121-1,7.52,8.50,OK,"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (300γρ), Φέτα τυρί, light (30γρ)",1.19,1.34,0.20,0.25,1.39,1.39,1.59,18.45%,€6.13,15.82%,2.63%,384,57,17,13,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing
Μαγειρευτά,ΝΑΙ,"Κριθαράκι ολικής με κινόα, λαχανικά και φέτα light","Κριθαράκι ολικής με πολύχρωμη κινόα (350γρ), Φέτα light (60γρ)","Ζυμαρικό, Κινόα, Κρεμμύδι, Πράσο, Καρότο, Κολοκύθι, Σκόρδο, Ντομάτα, Ζωμός λαχανικών, Κουκουνάρι, Μέλι, Μαϊντανός, Φέτα light","Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (350γρ), Τριμμένη φέτα light (60γρ)",121-2,7.88,8.90,OK,"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (350γρ), Φέτα τυρί, light (60γρ)",1.82,2.06,0.20,0.25,2.02,2.02,2.30,25.61%,€5.86,23.10%,2.51%,489,67,24,18,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Κριθαράκι ολικής με κινόα, λαχανικά και φέτα light","Κριθαράκι ολικής με πολύχρωμη κινόα (400γρ), Φέτα light (60γρ)","Ζυμαρικό, Κινόα, Κρεμμύδι, Πράσο, Καρότο, Κολοκύθι, Σκόρδο, Ντομάτα, Ζωμός λαχανικών, Κουκουνάρι, Μέλι, Μαϊντανός, Φέτα light","Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (400γρ), Τριμμένη φέτα light (60γρ)",121-3,8.41,9.50,OK,"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι (400γρ), Φέτα τυρί, light (60γρ)",1.93,2.18,0.20,0.25,2.13,2.13,2.43,25.30%,€6.28,22.95%,2.35%,545,76,26,20,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing,https://drive.google.com/file/d/1ioYtlQTZdGCRCIcPHOHvBcEqU33rma29/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Κρύα σούπα Gazpacho τομάτας με φέτα light,"Σούπα gazphacho τομάτας (350γρ), Ελαιόλαδο (10γρ)","Ντομάτα, Αγγούρι, Κρεμμύδι, Πράσινη πιπεριά, Κόκκινη πιπεριά, Σκόρδο, Φέτα light, Ελιά","Σούπα gazphacho τομάτας (350γρ), Φέτα light (30γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Ελιά (10γρ), Ελαιόλαδο (10γρ), Ρίγανη (1γρ)",322-1,6.64,7.50,Product Cost Change,"Σούπα gazphacho τομάτας (350γρ), Φέτα τυρί, light (30γρ), Ντοματίνια, ωμά (30γρ), Αγγούρι, ωμό (30γρ), Ελιά, πράσινη, ολόκληρη (10γρ), Ελαιόλαδο (10γρ), Ρίγανη (1γρ)",1.52,1.72,0.13,0.16,1.64,1.65,1.88,24.83%,€4.99,22.89%,1.94%,242,21,10,16,https://drive.google.com/file/d/18B1TUPgXA7tpNfSDD8lDgtn3tAzi6kHY/view?usp=sharing,
Μαγειρευτά,ΝΑΙ,Κρύα σούπα Gazpacho τομάτας με φέτα light,"Σούπα gazphacho τομάτας (400γρ), Ελαιόλαδο (10γρ)","Ντομάτα, Αγγούρι, Κρεμμύδι, Πράσινη πιπεριά, Κόκκινη πιπεριά, Σκόρδο, Φέτα light, Ελιά","Σούπα gazphacho τομάτας (400γρ), Φέτα light (30γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Ελιά (10γρ), Ελαιόλαδο (10γρ), Ρίγανη (1γρ)",322-2,7.52,8.50,Product Cost Change,"Σούπα gazphacho τομάτας (400γρ), Φέτα τυρί, light (30γρ), Ντοματίνια, ωμά (30γρ), Αγγούρι, ωμό (30γρ), Ελιά, πράσινη, ολόκληρη (10γρ), Ελαιόλαδο (10γρ), Ρίγανη (1γρ)",1.62,1.83,0.13,0.16,1.74,1.75,1.99,23.25%,€5.77,21.54%,1.71%,254,23,10,16,https://drive.google.com/file/d/18B1TUPgXA7tpNfSDD8lDgtn3tAzi6kHY/view?usp=sharing,
Μαγειρευτά,ΟΧΙ,Κρύα σούπα βελουτέ αρακά με κατίκι δομοκού και σπιτικά κρουτόν,"Βελουτέ αρακά (350γρ), Κατίκι (30γρ), Κρουτόν (30γρ)","Αρακάς, Ζωμός λαχανικών, Μαϊντανός, Κατίκι, Κρουτόν","Βελουτέ αρακά (350γρ), Κατίκι (30γρ), Κρουτόν (30γρ)",323-1,5.75,6.50,OK,"Βελουτέ αρακά  (350γρ), Κατίκι (30γρ), Κρουτόν (30γρ)",1.23,1.39,0.19,0.23,1.42,1.42,1.62,24.63%,€4.33,21.39%,3.24%,395,62,19,9,https://drive.google.com/file/d/1ClXJSKDUVc8P-dKykAzPQ9GWcWflnz_Z/view?usp=sharing,
Μαγειρευτά,ΝΑΙ,Κρύα σούπα βελουτέ αρακά με κατίκι δομοκού και σπιτικά κρουτόν,"Βελουτέ αρακά (400γρ), Κατίκι (30γρ), Κρουτόν (30γρ)","Αρακάς, Ζωμός λαχανικών, Μαϊντανός, Κατίκι, Κρουτόν","Βελουτέ αρακά (400γρ), Κατίκι (30γρ), Κρουτόν (30γρ)",323-2,6.64,7.50,OK,"Βελουτέ αρακά  (400γρ), Κατίκι (30γρ), Κρουτόν (30γρ)",1.36,1.54,0.19,0.23,1.55,1.55,1.77,23.29%,€5.09,20.48%,2.81%,427,68,21,9,https://drive.google.com/file/d/1ClXJSKDUVc8P-dKykAzPQ9GWcWflnz_Z/view?usp=sharing,
Μαγειρευτά,ΟΧΙ,"Λαζάνια με λαχανικά ρικότα, μοτσαρέλα και γραβιέρα light",Λαζάνια (250γρ),"Ζυμαρικό, Κρεμμύδι, Σκόρδο, Κολοκύθι, Μελιτζάνα, Κόκκινη πιπεριά, Κίτρινη πιπεριά, Μανιτάρι, Σπανάκι, Ντομάτα, Μέλι, Αυγό, Ρικότα, Παρμεζάνα, Γραβιέρα light, Μοτσαρέλα","Λαζάνια με κολοκύθι, μελιτζάνα, πιπεριές, μανιτάρια, σπανάκι, ρικότα, μοτσαρέλα, γραβιέρα light και φρέσκο βασιλικό (250γρ)",232-1,6.99,7.90,OK,"Λαζάνια (80γρ), Λαχανικά (για λαζάνια) (170γρ)",1.24,1.40,0.14,0.17,1.38,1.38,1.57,19.74%,€5.61,17.74%,2.00%,371,35,21,17,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Λαζάνια με λαχανικά ρικότα, μοτσαρέλα και γραβιέρα light",Λαζάνια (300γρ),"Ζυμαρικό, Κρεμμύδι, Σκόρδο, Κολοκύθι, Μελιτζάνα, Κόκκινη πιπεριά, Κίτρινη πιπεριά, Μανιτάρι, Σπανάκι, Ντομάτα, Μέλι, Αυγό, Ρικότα, Παρμεζάνα, Γραβιέρα light, Μοτσαρέλα","Λαζάνια με κολοκύθι, μελιτζάνα, πιπεριές, μανιτάρια, σπανάκι, ρικότα, μοτσαρέλα, γραβιέρα light και φρέσκο βασιλικό (300γρ)",232-2,7.52,8.50,OK,"Λαζάνια (95γρ), Λαχανικά (για λαζάνια) (205γρ)",1.49,1.68,0.14,0.17,1.63,1.63,1.86,21.68%,€5.89,19.81%,1.86%,445,41,26,20,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing
Μαγειρευτά,ΝΑΙ,"Λαζάνια με λαχανικά ρικότα, μοτσαρέλα και γραβιέρα light",Λαζάνια (350γρ),"Ζυμαρικό, Κρεμμύδι, Σκόρδο, Κολοκύθι, Μελιτζάνα, Κόκκινη πιπεριά, Κίτρινη πιπεριά, Μανιτάρι, Σπανάκι, Ντομάτα, Μέλι, Αυγό, Ρικότα, Παρμεζάνα, Γραβιέρα light, Μοτσαρέλα","Λαζάνια με κολοκύθι, μελιτζάνα, πιπεριές, μανιτάρια, σπανάκι, ρικότα, μοτσαρέλα, γραβιέρα light και φρέσκο βασιλικό (350γρ)",232-3,7.88,8.90,OK,"Λαζάνια (110γρ), Λαχανικά (για λαζάνια) (240γρ)",1.75,1.98,0.14,0.17,1.89,1.89,2.15,23.98%,€5.99,22.21%,1.78%,519,48,30,24,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Λαζάνια με λαχανικά ρικότα, μοτσαρέλα και γραβιέρα light",Λαζάνια (400γρ),"Ζυμαρικό, Κρεμμύδι, Σκόρδο, Κολοκύθι, Μελιτζάνα, Κόκκινη πιπεριά, Κίτρινη πιπεριά, Μανιτάρι, Σπανάκι, Ντομάτα, Μέλι, Αυγό, Ρικότα, Παρμεζάνα, Γραβιέρα light, Μοτσαρέλα","Λαζάνια με κολοκύθι, μελιτζάνα, πιπεριές, μανιτάρια, σπανάκι, ρικότα, μοτσαρέλα, γραβιέρα light και φρέσκο βασιλικό (400γρ)",232-4,8.41,9.50,OK,"Λαζάνια (125γρ), Λαχανικά (για λαζάνια) (275γρ)",2.00,2.26,0.14,0.17,2.14,2.14,2.43,25.45%,€6.27,23.78%,1.66%,593,54,34,27,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing,https://drive.google.com/file/d/1dP4mxunUgmQP7-B3hEPa_C5tlRRz3tKL/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Λαχανοντολμάδες κιμά κοτόπουλου και αυγολέμονο,Λαχανοντολμάδες με κιμά κοτόπουλου (210γρ),"Λάχανο, Κοτόπουλο, Καρότο, Σέλερι, Πράσο, Κρεμμύδι, Μαϊντανός, Ρύζι, Σκόρδο, Άνηθος, Φρυγανιά, Αυγό",Λαχανοντολμάδες με κιμά κοτόπουλου (210γρ),230-1,6.99,7.90,OK,"Λαχανοντολμάδες με κιμά κοτόπουλο (210γρ),  Σάλτσα αυγολέμονο (για λαχανοντολμάδες) (100γρ)",1.06,1.20,0.14,0.17,1.20,1.20,1.37,17.17%,€5.79,15.16%,2.00%,590,43,18,39,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Λαχανοντολμάδες κιμά κοτόπουλου και αυγολέμονο,Λαχανοντολμάδες με κιμά κοτόπουλου (280γρ),"Λάχανο, Κοτόπουλο, Καρότο, Σέλερι, Πράσο, Κρεμμύδι, Μαϊντανός, Ρύζι, Σκόρδο, Άνηθος, Φρυγανιά, Αυγό",Λαχανοντολμάδες με κιμά κοτόπουλου (280γρ),230-2,7.88,8.90,OK,"Λαχανοντολμάδες με κιμά κοτόπουλο (280γρ),  Σάλτσα αυγολέμονο (για λαχανοντολμάδες) (100γρ)",1.28,1.45,0.14,0.17,1.42,1.42,1.62,18.02%,€6.46,16.24%,1.78%,673,49,22,44,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing
Μαγειρευτά,ΝΑΙ,Λαχανοντολμάδες κιμά κοτόπουλου και αυγολέμονο,Λαχανοντολμάδες με κιμά κοτόπουλου (350γρ),"Λάχανο, Κοτόπουλο, Καρότο, Σέλερι, Πράσο, Κρεμμύδι, Μαϊντανός, Ρύζι, Σκόρδο, Άνηθος, Φρυγανιά, Αυγό",Λαχανοντολμάδες με κιμά κοτόπουλου (350γρ),230-3,8.76,9.90,OK,"Λαχανοντολμάδες με κιμά κοτόπουλο (350γρ),  Σάλτσα αυγολέμονο (για λαχανοντολμάδες) (100γρ)",1.50,1.70,0.14,0.17,1.64,1.64,1.87,18.72%,€7.12,17.12%,1.60%,756,55,25,50,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Λαχανοντολμάδες κιμά κοτόπουλου και αυγολέμονο,Λαχανοντολμάδες με κιμά κοτόπουλου (420γρ),"Λάχανο, Κοτόπουλο, Καρότο, Σέλερι, Πράσο, Κρεμμύδι, Μαϊντανός, Ρύζι, Σκόρδο, Άνηθος, Φρυγανιά, Αυγό",Λαχανοντολμάδες με κιμά κοτόπουλου (420γρ),230-4,9.65,10.90,OK,"Λαχανοντολμάδες με κιμά κοτόπουλο (420γρ),  Σάλτσα αυγολέμονο (για λαχανοντολμάδες) (100γρ)",1.72,1.94,0.14,0.17,1.86,1.86,2.12,19.27%,€7.79,17.82%,1.45%,839,61,29,55,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing,https://drive.google.com/file/d/11UZeFkdlYIZeSOgRVuTTF3JAKMkOM-mo/view?usp=sharing
Μαγειρευτά,ΟΧΙ,Λαχανοντολμάδες με κιμά μανιταριών και αυγολέμονο,Λαχανοντολμάδες με κιμά μανιταριών (210γρ),"Λάχανο, Καρότο, Σέλερι, Πράσο, Πλιγούρι, Μανιτάρι, Κρεμμύδι, Μαϊντανός, Ρύζι, Σκόρδο, Άνηθος, Φρυγανιά, Αυγό",Λαχανοντολμάδες με κιμά μανιταριών (210γρ),262-1,6.11,6.90,OK,"Λαχανοντολμάδες με κιμά μανιταριών (210γρ),  Σάλτσα αυγολέμονο (για λαχανοντολμάδες) (100γρ)",0.90,1.02,0.14,0.17,1.04,1.04,1.19,17.02%,€5.07,14.73%,2.29%,541,47,11,35,https://drive.google.com/file/d/1nZ_u_ZDZvYfcKwjUwuA5YDxt8kDN0TSA/view?usp=sharing,https://drive.google.com/file/d/1nZ_u_ZDZvYfcKwjUwuA5YDxt8kDN0TSA/view?usp=sharing
