Κατηγορία,Λιανική,Τίτλος,Ποσότητα,Υλικά,Κρυμμένο Πεδίο,Κωδικός,Price,Price (ΦΠΑ),Status,Επιλογή Πιάτου Match,Food Cost,Food Cost (ΦΠΑ),Packaging Cost,Packaging Cost (ΦΠΑ),Old Product Cost,Product Cost,Product Cost (ΦΠΑ),Product Cost/ Price,Price - Product Cost,Food Cost/Price,Packaging Cost/ Price,Θερμίδες,Υδατάνθρακες,Πρωτεϊνη,Λιπαρά,Image,Image
Πρωϊνά,ΝΑΙ,Brioche με guacamole και βραστό αυγό,Brioche ψωμάκι με guacamole (60γρ),"Ψωμί brioche, Αυγό, Ντομάτα, Guacamole","Ψωμί brioche (60γρ), Αυγό βραστό (50γρ), Guacamole (20γρ), Ντομάτα (10γρ)",28,3.45,3.90,Product Cost Change,"Ψωμί brioche (60γρ), Αυγό ολόκληρο, βραστό (50γρ), Ντομάτα, ωμή (10γρ), Guacamole (20γρ)",0.68,0.77,0.20,0.25,0.87,0.88,1.02,25.51%,€2.57,19.71%,5.80%,327,30,12,18,https://drive.google.com/file/d/16z9aUH4_67wooeQcW3zW3qPwc7eH38NT/view?usp=sharing,https://drive.google.com/file/d/16z9aUH4_67wooeQcW3zW3qPwc7eH38NT/view?usp=sharing
Bowls,ΝΑΙ,Buddha bowl με τόφου,"Buddha bowl με τόφου (40γρ), Dressing (20γρ)","Τόφου, Ρεβίθια, Κινόα, Ρύζι, Γλυκοπατάτα, Μπρόκολο, Ντοματίνια, Edamame, Φαγόπυρο, Ταχίνι, Χυμός λεμονιού, Μέλι, Σόγια, Σκόρδο, Σουσάμι","Τόφου (40γρ), Ρεβίθια (40γρ), Κινόα (100γρ), Άγριο ρύζι (50γρ), Φαγόπυρο (50γρ), Ψητή γλυκοπατάτα (50γρ), Μπρόκολο (40γρ), Ντοματίνια (30γρ), Edamame (20γρ), Αβοκάντο (30γρ), Σουσάμι (10γρ), Dressing (20γρ)",69,7.52,8.50,Product Cost Change,"Τόφου (40γρ), Ρεβύθια, μαγειρεμένα (40γρ), Κινόα, μαγειρεμένη (100γρ), Άγριο ρύζι, μαγειρεμένο (50γρ), Γλυκοπατάτα, μαγειρεμένη (50γρ), Μπρόκολο, ατμού (40γρ), Ντοματίνια, ωμά (30γρ), Edamame (20γρ), Φαγόπυρο, μαγειρεμένο (50γρ), Dressing ταχίνι-αβοκάντο (20γρ), Αβοκάντο (30γρ), Σουσάμι (10γρ)",2.05,2.32,0.14,0.17,2.01,2.19,2.49,29.12%,€5.33,27.26%,1.86%,598,80,24,24,https://drive.google.com/file/d/1VpAxKUhOmqX9jfti_WJYfIwoTe72AtGC/view?usp=sharing,https://drive.google.com/file/d/1VpAxKUhOmqX9jfti_WJYfIwoTe72AtGC/view?usp=sharing
Bowls,ΝΑΙ,Buddha bowl με φιλέτο κοτόπουλο και γλυκοπατάτα,"Buddha bowl με φιλέτο κοτόπουλο (90γρ), Dressing (20γρ)","Κοτόπουλο, Γλυκοπατάτα, Κινόα, Ρύζι, Αγγούρι, Ντοματίνια, Σπανάκι, Αβοκάντο, Μπρόκολο, Edamame, Κρεμμύδι, Λάχανο κόκκινο, Καρότο, Κόλιανδρος, Ταχίνι, Ηλιέλαιο, Μέλι, Ξύδι ρυζιού, Σκόρδο, Χυμός λεμονιού, Σουσάμι, Μαγιονέζα light, Σόγια","Φιλέτο κοτόπουλο (90γρ), Ψητή γλυκοπατάτα (80γρ), Κινόα (50γρ), Μαύρο ρύζι (100γρ), Αγγούρι (50γρ), Ντοματίνια (60γρ), Σπανάκι (20γρ), Αβοκάντο (40γρ), Μπρόκολο (50γρ), Edamame (20γρ), Κρεμμύδι πίκλα (20γρ), Κόκκινο λάχανο (20γρ), Καρότο (20γρ), Σουσάμι (1γρ), Κόλιανδρος (5γρ), Dressing ταχίνι-σόγια (20γρ)",227,9.29,10.50,Product Cost Change,"Κοτόπουλο στήθος, μαγειρεμένο (90γρ), Γλυκοπατάτα, μαγειρεμένη (80γρ), Κινόα, μαγειρεμένη (50γρ), Άγριο ρύζι, μαγειρεμένο (100γρ), Αγγούρι, ωμό (50γρ), Ντοματίνια, ωμά (60γρ), Σπανάκι, βραστό (20γρ), Αβοκάντο (40γρ), Μπρόκολο, ατμού (50γρ), Edamame (20γρ), Κρεμμύδι κόκκινο, ωμό (20γρ), Λάχανο κόκκινο (20γρ), Καρότο, ωμό (20γρ), Σουσάμι (1γρ), Κόλιανδρος (5γρ), Dressing ταχίνι-σόγια (20γρ)",2.92,3.30,0.18,0.23,2.86,3.10,3.53,33.41%,€6.19,31.43%,1.98%,626,70,44,21,https://drive.google.com/file/d/1L9e3xJIhI9jujz9dmpxF3V0wTlRX44GF/view?usp=sharing,https://drive.google.com/file/d/1L9e3xJIhI9jujz9dmpxF3V0wTlRX44GF/view?usp=sharing
Πρωϊνά,ΝΑΙ,Sugar free cake με φρούτα του δάσους,Κέικ με φρούτα του δάσους (90γρ),"Αλεύρι, Μήλο, Stevia, Αυγό, Φρούτα του δάσους",Κέικ με φρούτα του δάσους (90γρ),57,3.10,3.50,OK,Κέικ με φρούτα του δάσους (90γρ),0.40,0.45,0.05,0.07,0.45,0.45,0.52,14.60%,€2.65,12.90%,1.69%,192,36,4,9,https://drive.google.com/file/d/14Ugz8qa8e8GcGOv664Iajp0nMyUP5aol/view?usp=sharing,https://drive.google.com/file/d/14Ugz8qa8e8GcGOv664Iajp0nMyUP5aol/view?usp=sharing
Σαλάτες,ΟΧΙ,Caprese με τοματίνια και μοτσαρέλα,"Caprese με μοτσαρέλα (30γρ), Dressing (20γρ)","Ντοματίνια, Φρέσκια μοτσαρέλα, Κρουτόν, Βαλσάμικο","Ντοματίνια (180γρ), Μοτσαρέλα (30γρ), Κρουτόν (30γρ), Ελαιόλαδο (10γρ), Κρέμα βαλσάμικο (10γρ)",89-1,6.99,7.90,Product Cost Change,"Ντοματίνια, ωμά (180γρ), Φρέσκια μοτσαρέλα (30γρ), Κρουτόν (30γρ), Ελαιόλαδο (10γρ), Βαλσάμικο κρέμα (10γρ)",1.05,1.19,0.20,0.25,1.19,1.25,1.43,17.87%,€5.74,15.02%,2.85%,321,34,11,16,https://drive.google.com/file/d/1pazXMVqqytSVE7m5wKaH5l1Wzi_oZ7L7/view?usp=sharing,https://drive.google.com/file/d/1pazXMVqqytSVE7m5wKaH5l1Wzi_oZ7L7/view?usp=sharing
Σαλάτες,ΝΑΙ,Caprese με τοματίνια και μοτσαρέλα,"Caprese με μοτσαρέλα (60γρ), Dressing (20γρ)","Ντοματίνια, Φρέσκια μοτσαρέλα, Κρουτόν, Βαλσάμικο","Ντοματίνια (180γρ), Μοτσαρέλα (60γρ), Κρουτόν (30γρ), Ελαιόλαδο (10γρ), Κρέμα βαλσάμικο (10γρ)",89-2,7.43,8.40,Product Cost Change,"Ντοματίνια, ωμά (180γρ), Φρέσκια μοτσαρέλα (60γρ), Κρουτόν (30γρ), Ελαιόλαδο (10γρ), Βαλσάμικο κρέμα (10γρ)",1.39,1.57,0.20,0.25,1.53,1.59,1.82,21.39%,€5.84,18.71%,2.68%,370,34,17,18,https://drive.google.com/file/d/1pazXMVqqytSVE7m5wKaH5l1Wzi_oZ7L7/view?usp=sharing,https://drive.google.com/file/d/1pazXMVqqytSVE7m5wKaH5l1Wzi_oZ7L7/view?usp=sharing
Σαλάτες,ΟΧΙ,Caprese με τοματίνια και μοτσαρέλα,"Caprese με μοτσαρέλα (90γρ), Dressing (20γρ)","Ντοματίνια, Φρέσκια μοτσαρέλα, Κρουτόν, Βαλσάμικο","Ντοματίνια (180γρ), Μοτσαρέλα (90γρ), Κρουτόν (30γρ), Ελαιόλαδο (10γρ), Κρέμα βαλσάμικο (10γρ)",89-3,7.88,8.90,Product Cost Change,"Ντοματίνια, ωμά (180γρ), Φρέσκια μοτσαρέλα (90γρ), Κρουτόν (30γρ), Ελαιόλαδο (10γρ), Βαλσάμικο κρέμα (10γρ)",1.72,1.94,0.20,0.25,1.86,1.92,2.19,24.35%,€5.96,21.83%,2.53%,418,35,23,21,https://drive.google.com/file/d/1pazXMVqqytSVE7m5wKaH5l1Wzi_oZ7L7/view?usp=sharing,https://drive.google.com/file/d/1pazXMVqqytSVE7m5wKaH5l1Wzi_oZ7L7/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι","Φιλέτο κοτόπουλο (120γρ), Πλιγούρι (90γρ)","Κοτόπουλο, Πλιγούρι, Κρεμμύδι, Σκόρδο, Βασιλικός, Ντοματίνια, Βαλσάμικο ξύδι, Μέλι, Φρέσκια μοτσαρέλα","Φιλέτο κοτόπουλο (120γρ), Πλιγούρι (90γρ), Ντοματίνια (35γρ), Μοτσαρέλα (35γρ)",173-1,7.43,8.40,OK,"Κοτόπουλο στήθος, μαγειρεμένο (120γρ), Πλιγούρι, μαγειρεμένο (90γρ), Ντοματίνια caprese (35γρ), Φρέσκια μοτσαρέλα (35γρ)",1.79,2.02,0.14,0.17,1.93,1.93,2.20,25.98%,€5.50,24.09%,1.88%,354,22,48,8,https://drive.google.com/file/d/1ntKhLI4ec67SsviNohUjQKIYBswJdrKL/view?usp=sharing,https://drive.google.com/file/d/1ntKhLI4ec67SsviNohUjQKIYBswJdrKL/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι","Φιλέτο κοτόπουλο (120γρ), Πλιγούρι (120γρ)","Κοτόπουλο, Πλιγούρι, Κρεμμύδι, Σκόρδο, Βασιλικός, Ντοματίνια, Βαλσάμικο ξύδι, Μέλι, Φρέσκια μοτσαρέλα","Φιλέτο κοτόπουλο (120γρ), Πλιγούρι (120γρ), Ντοματίνια (35γρ), Μοτσαρέλα (35γρ)",173-2,7.88,8.90,OK,"Κοτόπουλο στήθος, μαγειρεμένο (120γρ), Πλιγούρι, μαγειρεμένο (120γρ), Ντοματίνια caprese (35γρ), Φρέσκια μοτσαρέλα (35γρ)",1.81,2.05,0.14,0.17,1.95,1.95,2.22,24.75%,€5.93,22.97%,1.78%,381,28,49,8,https://drive.google.com/file/d/1ntKhLI4ec67SsviNohUjQKIYBswJdrKL/view?usp=sharing,https://drive.google.com/file/d/1ntKhLI4ec67SsviNohUjQKIYBswJdrKL/view?usp=sharing
Μαγειρευτά,ΟΧΙ,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι","Φιλέτο κοτόπουλο (120γρ), Πλιγούρι (180γρ)","Κοτόπουλο, Πλιγούρι, Κρεμμύδι, Σκόρδο, Βασιλικός, Ντοματίνια, Βαλσάμικο ξύδι, Μέλι, Φρέσκια μοτσαρέλα","Φιλέτο κοτόπουλο (120γρ), Πλιγούρι (180γρ), Ντοματίνια (35γρ), Μοτσαρέλα (35γρ)",173-3,8.32,9.40,OK,"Κοτόπουλο στήθος, μαγειρεμένο (120γρ), Πλιγούρι, μαγειρεμένο (180γρ), Ντοματίνια caprese (35γρ), Φρέσκια μοτσαρέλα (35γρ)",1.85,2.09,0.14,0.17,1.99,1.99,2.26,23.92%,€6.33,22.24%,1.68%,436,40,51,8,https://drive.google.com/file/d/1ntKhLI4ec67SsviNohUjQKIYBswJdrKL/view?usp=sharing,https://drive.google.com/file/d/1ntKhLI4ec67SsviNohUjQKIYBswJdrKL/view?usp=sharing
