Κωδικός,Παλιός τίτλος,Νέος τίτλος
164,"Μπιφτέκι γαλοπούλας, άγριο ρύζι, αμπελοφάσουλα",Μπιφτέκι γαλοπούλας με άγριο ρύζι και αμπελοφάσουλα
165,Μπιφτέκι γαλοπούλας με ρύζι και κρέμα μελιτζάνας,Μπιφτέκι γαλοπούλας με ρύζι basmati και κρέμα μελιτζάνας
166,"Μπιφτέκι γαλοπούλας, γλυκοπατάτα, κρέμα μελιτζάνας",Μπιφτέκι γαλοπούλας με γλυκοπατάτα και κρέμα μελιτζάνας
168,Μπιφτέκι γαλοπούλας με λαχανικά ατμού,Μπιφτέκι γαλοπούλας με λαχανικά ατμού και λαδολέμονο
170,"Μπιφτέκι γαλοπούλας, πατάτες φούρνου, ψητά καρότα",Μπιφτέκι γαλοπούλας με πατάτες φούρνου και ψητά καρότα
172,Φιλέτο στήθος κοτόπουλο με μανιτάρια και ρύζι,Φιλέτο στήθος κοτόπουλο με μανιτάρια και άγριο ρύζι
173,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα, πλιγούρι","Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι"
174,Φιλέτο μπούτι κοτόπουλο με ρύζι και teriyaki sauce,Φιλέτο μπούτι κοτόπουλο με άγριο ρύζι και teriyaki sauce
175,Tikka Masala κοτόπουλο με ρύζι basmati,Μπούτι κοτόπουλο Tikka Masala με ρύζι basmati
176,Φιλέτο μπούτι κοτόπουλο με ρύζι και κάρυ,Φιλέτο μπούτι κοτόπουλο με ρύζι basmati και κάρυ
18,"Wrap με φαλάφελ, γιαούρτι και sauce ταχίνι","Wrap ολικής με falafel φούρνου, γιαούρτι 2% και sauce ταχίνι"
181,"Γεμιστά με ρύζι, κινόα, φυστίκι Αιγίνης και φέτα","Γεμιστά με ρύζι, κινόα, φυστίκι Αιγίνης και φέτα light"
184,Χταπόδι με κοφτό μακαρονάκι και τριμμένο τυρί,Χταπόδι με κοφτό μακαρονάκι και τριμμένο τυρί light
185,"Λιγκουίνι ολικής με γαρίδες, σάλτσα λευκού κρασιού",Λιγκουίνι ολικής με γαρίδες και σάλτσα λευκού κρασιού
186,"Λιγκουίνι ολικής με κιμά γαλοπούλας, τριμμένο τυρί",Λιγκουίνι ολικής με κιμά γαλοπούλας και τριμμένο τυρί light
187,"Λιγκουίνι ολικής με μοσχαρίσιο κιμά, τριμμένο τυρί",Λιγκουίνι ολικής με μοσχαρίσιο κιμά και τριμμένο τυρί light
19,"Wrap με φαλάφελ, vegan mayo και sauce ταχίνι","Wrap ολικής με falafel φούρνου, vegan mayo και sauce ταχίνι"
190,Κοκκινιστά πράσινα φασολάκια με πατάτα και φέτα,Κοκκινιστά πράσινα φασολάκια με πατάτα και φέτα light
193,"Γιουβέτσι μοσχάρι,κριθαράκι ολικής, τριμμένο τυρί",Γιουβέτσι μοσχάρι με κριθαράκι ολικής και τριμμένο τυρί light
197,"Κάρυ με γάλα καρύδας, βασιλικό, τόφου, άγριο ρύζι","Κάρυ με γάλα καρύδας, βασιλικό, τόφου και άγριο ρύζι"
198,"Vegan μουσακάς, μανιτάρια, μπεσαμέλ γάλα σόγιας","Vegan μουσακάς με μανιτάρια, μπεσαμέλ και γάλα σόγιας"
2,Γιαούρτι με φουντουκοβούτυρο,"Γιαούρτι 2% με φουντουκοβούτυρο, granola και blueberries"
206,Σολομός ψητός με λαχανικά και vinaigrette σόγιας,Σολομός ψητός με λαχανικά ατμού και vinaigrette σόγιας
207,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light
209,"Φιλέτο μοσχαρίσιο, πουρές πατάτας και μανιτάρια",Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια
21,"Τορτίγια ολικής με αυγό, γαλοπούλα και τυρί κρέμα","Wrap ολικής με αυγό, γαλοπούλα και τυρί κρέμα"
210,"Ψαρονέφρι με πατάτες φούρνου, καρότα, gravy sauce","Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce"
212,"Μπιφτέκι μοσχαρίσιο, λαχανικά ατμού με λαδολέμονο",Μπιφτέκι μοσχαρίσιο με λαχανικά ατμού και λαδολέμονο
213,"Ψάρι ημέρας ψητό, αχνιστά χόρτα, κρέμα λεμόνι",Ψάρι ημέρας ψητό με αχνιστά χόρτα και κρέμα λεμόνι
214,"Σολομός ψητός, ψητά λαχανικά, vinaigrette σόγιας",Σολομός ψητός με ψητά λαχανικά και vinaigrette σόγιας
215,"Φιλέτο μοσχαρίσιο με πατάτες φούρνου, gravy sauce",Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce
217,"Σολομός ψητός, αχνιστά χόρτα, κρέμα λεμόνι, καρότα","Σολομός ψητός με αχνιστά χόρτα, καρότα και κρέμα λεμόνι"
219,Wrap ολικής με μανιτάρια και κατίκι δομοκού,"Wrap ολικής με ψητά μανιτάρια, κατίκι και γραβιέρα light"
220,Wrap με κολοκυθοκεφτέδες και κατίκι δομοκού,"Wrap ολικής με κολοκυθοκεφτέδες φούρνου, κατίκι και pesto"
222,Κουακεροπιτάκια με μέλι και ταχίνι,"Κουακεροπιτάκια με μέλι, ταχίνι και κανέλλα"
229,Σαλάτα με αποξηραμένα σύκα και λιαστή τομάτα,"Σαλάτα με αποξηραμένα σύκα, καρύδια, κατίκι Δομοκού και λιαστή τομάτα"
231,Τηγανητό ρύζι με λαχανικά αυγό και σόγια,"Τηγανητό ρύζι με λαχανικά, αυγό και σόγια"
232,"Λαζάνια με λαχανικά ρικότα, μοτσαρέλα και γραβιέρα","Λαζάνια με λαχανικά ρικότα, μοτσαρέλα και γραβιέρα light"
235,Wrap ολικής με πάστα χαρίσα και κρέμα μελιτζάνας,"Wrap ολικής με πάστα χαρίσα, κρέμα μελιτζάνας και χούμους"
242,Γιαούρτι 2% με φρούτα εποχής και μαύρη σοκολάτα,Γιαούρτι 2% με φρέσκα φρούτα εποχής και μαύρη σοκολάτα
246,"Vegan παστίτσιο με μανιτάρια,μπεσαμέλ γάλα σόγιας","Vegan παστίτσιο με μανιτάρια, μπεσαμέλ και γάλα σόγιας"
247,Ρεβύθια φούρνου κοκκινιστά,Ρεβίθια φούρνου κοκκινιστά με φέτα light
252,"Λιγκουίνι ολικής με σολομό, τυρί, σάλτσα λεμονιού","Λιγκουίνι ολικής με σολομό, σάλτσα λεμονιού και τριμμένο τυρί light"
254,Sugar free cheesecake φούρνου,Sugar free Cheesecake φούρνου
258,Ομελέτα με καπνιστό σολόμο με αβοκάντο,Ομελέτα φούρνου με καπνιστό σολόμο με αβοκάντο
26,Ceasar salad wrap με στήθος κοτόπουλο,Ceasar salad wrap ολικής με στήθος κοτόπουλο
260,Ομελέτα φούρνου με γλυκοπατάτες και σπανάκι,"Ομελέτα φούρνου με γλυκοπατάτες, φέτα light και σπανάκι"
263,Κόκορας κρασάτος με μακαρόνι και τυρί τριμμένο,Κόκορας κρασάτος με μακαρόνι ολικής και τριμμένο τυρί light
267,"Σαλάτα baby σπανάκι, κοτόπουλο και παρμεζάνα","Σαλάτα baby σπανάκι με κοτόπουλο, cranberries, αμύγδαλο φιλέ και παρμεζάνα"
27,Βrioche με γαλοπούλα και τυρί κρέμα  light,Brioche με γαλοπούλα και τυρί κρέμα light
274,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα","Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light"
275,"Πράσινη σαλάτα, μπαλίτσες ανθότυρου, dressing σύκο","Πράσινη σαλάτα με μπαλίτσες ανθότυρου, καρύδια και dressing σύκο"
280,"Σαλάτα με baby σπανάκι με αμύγδαλο, ρόδι και φέτα","Σαλάτα με baby σπανάκι με αμύγδαλο, ρόδι και φέτα light"
